Start Date	2014.01.01															
End Date	2019.01.01															
																
	SPX Index	AMZN US Equity	GOOGL US Equity	FB US Equity	MSFT US Equity	JNJ US Equity	PFE US Equity	XOM US Equity	JPM US Equity	BRK/A US Equity	BA US Equity	HD US Equity	WMT US Equity	WFC US Equity	VZ US Equity	PEP US Equity
	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST
2014.11.07	2031,92	299,86	551,82	75,6	48,68	108,2	29,92	96,59	61,47	214970	124,45	97,65	78,77	53,84	50,86	96,8
2014.11.10	2038,26	305,11	558,23	75	48,89	108,82	30,2	96,28	61,93	217500	124,64	98,16	79,44	53,83	50,72	96,97
2014.11.11	2039,68	312,01	561,29	74,61	48,87	108,91	30,32	96,41	61,37	217352,7	125,36	98,14	79,01	53,58	50,61	96,7
2014.11.12	2038,25	311,51	558,25	74,72	48,78	108,75	30,42	95,38	60,56	218101	125,87	98,49	79,2	53,54	50,82	97,16
2014.11.13	2039,33	316,48	556,44	74,25	49,61	109,07	30,42	94,66	60,23	219300	128,53	99	82,94	53,39	51,2	98,54
2014.11.14	2039,82	327,82	555,19	74,88	49,58	108,16	30,34	95,09	60,28	218023	128,86	98,24	82,96	53,35	51,5	97,72
2014.11.17	2041,32	323,05	546,64	74,24	49,46	108,3	30,32	95,11	60,38	218540	128,42	98,03	83,57	53,44	51,4	98,42
2014.11.18	2051,8	324,93	544,51	74,34	48,74	108,83	30,59	94,87	60,53	218868	130,66	95,98	83,79	53,27	51,22	97,94
2014.11.19	2048,72	326,54	547,2	73,33	48,22	108,76	30,44	95,61	60,6	218544,91	131,61	96,7	84,99	53,36	50,49	98,41
2014.11.20	2052,75	330,54	543,76	73,6	48,7	108,18	30,44	95,82	60,12	218250	131,7	97,57	84,58	53,48	50,19	98,06
2014.11.21	2063,5	332,63	545,89	73,75	47,98	107,86	30,45	96,81	60,45	219935	132,78	98,28	84,65	53,81	50,21	98,89
2014.11.24	2069,41	335,64	547,48	74,01	47,59	106,88	30,22	95,72	60,96	221052,83	134,61	98,4	85,4	54,1	49,5	98,68
2014.11.25	2067,03	335,04	549,23	75,63	47,47	106,7	30,47	94,78	60,3	221725	134,81	97,01	84,95	53,88	49,34	98,93
2014.11.26	2072,83	333,57	547,73	77,62	47,75	107,21	31,1	94,48	60,34	222411	134,78	97,7	84,98	54,28	50,04	99,35
2014.11.27	2072,83	333,57	547,73	77,62	47,75	107,21	31,1	94,48	60,34	222411	134,78	97,7	84,98	54,28	50,04	99,35
2014.11.28	2067,56	338,64	549,08	77,7	47,81	108,25	31,15	90,54	60,16	223065	134,36	99,4	87,54	54,48	50,59	100,1
2014.12.01	2053,44	326	539,65	75,1	48,62	108,03	31,26	92,35	60	222525	132,39	98,88	86,22	53,82	50,03	99,67
2014.12.02	2066,55	326,31	538,59	75,46	48,46	108,51	31,57	94,19	61,08	225000	132,28	98,16	86,4	54,22	49,11	100,39
2014.12.03	2074,33	316,5	536,97	74,88	48,08	107,72	31,75	94,95	61,54	224485	131,97	98,59	84,94	54,39	48,79	98,32
2014.12.04	2071,92	316,93	542,58	75,24	48,84	107,56	31,67	94,37	61,38	225214,7	131,32	98,95	84,76	54,5	48,78	97,75
2014.12.05	2075,37	312,63	528,08	76,36	48,42	108,51	31,99	93,82	62,7	225640	132,21	99,64	84,12	55,03	48,61	97,76
2014.12.08	2060,31	306,64	530,73	76,52	47,695	108,52	31,97	91,7	62,67	227800	130,28	100,43	84,23	54,77	48,9	97,78
2014.12.09	2059,82	312,5	536,11	76,84	47,59	108,05	31,95	91,38	62,45	225334	129,66	99,64	83,56	54,83	46,92	97,13
2014.12.10	2026,14	305,84	528,04	76,18	46,9	106,24	31,86	88,67	60,68	223650	124,64	98,94	82,98	54,26	46,18	96,18
2014.12.11	2035,33	307,36	532,11	77,73	47,17	106,72	31,65	89,2	61,14	224800	123,37	100,27	83,83	54,43	46,36	96,29
2014.12.12	2002,33	307,32	521,51	77,83	46,95	104,43	30,95	86,6	60,04	219000	120,77	99,78	83,81	53,7	45,58	94,74
2014.12.15	1989,63	306,07	515,84	76,99	46,67	103,96	30,86	86,9	59,16	219073	122,08	100,05	83,94	53,19	45,42	94,14
2014.12.16	1972,74	295,06	498,16	74,69	45,16	102,76	30,67	86,41	58,43	218460	124,25	97,06	82,96	52,77	45,53	92,59
